user_id,pid,preferred
16,p32,valencia
16,p24,clarendon
16,p25,lofi
16,p14,lark
16,p23,stinson
16,p16,perpetua
16,p09,perpetua
16,p28,slumber
16,p42,lofi
16,p52,org
16,p54,maven
16,p48,slumber
16,p45,clarendon
16,p06,brannan
16,p07,kelvin
16,p34,brooklyn
16,p35,perpetua
16,p26,valencia
16,p12,perpetua
16,p39,lark
16,p36,org
16,p27,kelvin
16,p10,slumber
16,p53,perpetua
16,p51,slumber
17,p26,org
17,p24,brooklyn
17,p16,rise
17,p02,gingham
17,p11,xpro2
17,p21,stinson
17,p53,hudson
17,p29,earlybird
17,p13,org
17,p48,perpetua
17,p18,stinson
17,p40,lark
17,p20,perpetua
17,p46,willow
17,p23,earlybird
17,p09,hudson
17,p33,org
17,p47,willow
17,p37,clarendon
17,p15,brooklyn
17,p17,earlybird
17,p51,aden
17,p14,rise
17,p05,slumber
17,p32,hudson
17,p31,willow
17,p49,rise
17,p36,gingham
17,p27,slumber
17,p25,brooklyn
17,p35,hudson
17,p34,lark
17,p12,willow
17,p39,perpetua
17,p41,brooklyn
17,p10,rise
17,p03,nashville
17,p28,org
17,p54,brooklyn
17,p04,slumber
17,p38,rise
17,p44,clarendon
17,p19,mayfair
17,p42,org
17,p07,lofi
17,p50,perpetua
17,p01,mayfair
17,p52,earlybird
17,p45,valencia
17,p43,slumber
17,p30,brooklyn
17,p06,valencia
17,p22,lofi
17,p08,clarendon
18,p39,org
18,p43,mayfair
18,p20,perpetua
18,p25,org
18,p29,mayfair
18,p16,earlybird
18,p02,org
18,p13,perpetua
18,p22,org
18,p07,valencia
18,p09,rise
18,p47,inkwell
18,p35,hudson
18,p15,perpetua
18,p06,xpro2
18,p23,perpetua
18,p05,earlybird
18,p03,lark
18,p30,slumber
18,p42,mayfair
18,p38,willow
18,p28,mayfair
18,p18,maven
18,p45,org
18,p40,org
18,p44,perpetua
18,p49,inkwell
18,p52,rise
18,p37,inkwell
18,p10,inkwell
18,p51,rise
18,p34,perpetua
18,p41,lark
18,p21,org
18,p12,perpetua
18,p53,lark
18,p01,mayfair
18,p11,earlybird
18,p24,perpetua
18,p32,lark
18,p36,slumber
18,p33,slumber
18,p50,inkwell
18,p31,org
18,p27,org
18,p54,xpro2
18,p48,rise
18,p26,maven
18,p19,clarendon
18,p08,inkwell
18,p17,willow
18,p14,org
18,p04,perpetua
18,p46,inkwell
19,p53,org
19,p32,maven
19,p10,mayfair
19,p31,slumber
19,p20,xpro2
19,p01,perpetua
19,p35,valencia
19,p42,perpetua
19,p50,kelvin
19,p28,reyes
19,p40,org
19,p29,mayfair
19,p49,reyes
19,p37,perpetua
19,p46,clarendon
19,p14,lofi
19,p30,brooklyn
19,p04,perpetua
19,p44,aden
19,p09,org
19,p41,stinson
19,p19,rise
19,p21,org
19,p34,rise
19,p11,lark
19,p15,maven
19,p18,xpro2
19,p06,xpro2
19,p52,gingham
19,p36,org
19,p23,rise
19,p43,org
19,p16,org
19,p54,perpetua
19,p08,mayfair
19,p51,rise
19,p39,aden
19,p17,rise
19,p05,willow
19,p25,hudson
19,p48,mayfair
19,p03,mayfair
19,p02,maven
19,p38,rise
19,p12,org
19,p27,hudson
19,p45,clarendon
19,p07,brooklyn
19,p22,org
19,p33,xpro2
19,p13,brooklyn
19,p24,org
19,p47,gingham
19,p26,brooklyn
20,p30,inkwell
20,p46,maven
20,p28,rise
20,p34,kelvin
20,p41,willow
20,p23,org
20,p54,perpetua
20,p53,mayfair
20,p21,gingham
20,p12,kelvin
20,p11,earlybird
20,p42,inkwell
20,p32,clarendon
20,p05,inkwell
20,p38,gingham
20,p51,kelvin
20,p31,valencia
20,p36,valencia
20,p52,brooklyn
20,p40,gingham
20,p43,perpetua
20,p08,lofi
20,p07,valencia
20,p24,lark
20,p50,slumber
20,p39,mayfair
20,p18,rise
20,p35,hudson
20,p04,mayfair
20,p14,kelvin
20,p45,reyes
20,p44,kelvin
20,p09,slumber
20,p02,maven
20,p20,hudson
20,p27,earlybird
20,p19,valencia
20,p47,kelvin
20,p17,lark
20,p26,moon
20,p29,org
20,p01,mayfair
20,p22,willow
20,p48,org
20,p13,maven
20,p49,reyes
20,p03,brooklyn
20,p16,moon
20,p10,slumber
20,p06,kelvin
20,p37,hudson
20,p15,org
20,p33,xpro2
20,p25,kelvin
21,p10,moon
21,p38,gingham
21,p05,inkwell
21,p22,inkwell
21,p31,kelvin
21,p14,kelvin
21,p52,gingham
21,p43,mayfair
21,p33,valencia
21,p16,hudson
21,p41,hudson
21,p01,inkwell
21,p48,_1977
21,p36,reyes
21,p13,walden
21,p18,mayfair
21,p40,walden
21,p17,kelvin
21,p34,brooklyn
21,p53,reyes
21,p24,_1977
21,p37,earlybird
21,p45,inkwell
21,p23,reyes
21,p30,brooklyn
21,p47,gingham
21,p39,earlybird
21,p11,maven
21,p07,gingham
21,p04,mayfair
21,p08,lofi
21,p54,org
21,p44,brannan
21,p29,perpetua
21,p19,_1977
21,p25,hudson
21,p42,gingham
21,p21,earlybird
21,p28,earlybird
21,p49,nashville
21,p20,brooklyn
21,p26,aden
21,p06,org
21,p12,org
21,p03,perpetua
21,p15,rise
21,p09,gingham
21,p27,perpetua
21,p35,brooklyn
21,p46,toaster
21,p02,willow
21,p32,nashville
21,p51,valencia
21,p50,kelvin
